symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
ACN,2016-12-12 00:00:00+00:00,123.61,123.79,122.6,122.86,1608712,114.2393634755,114.4057180215,113.3059296343,113.5462195341,1608712,0.0,1.0
ACN,2016-12-13 00:00:00+00:00,125.4,125.72,123.68,123.8,2333210,115.8936670159,116.1894084309,114.3040569101,114.4149599407,2333210,0.0,1.0
ACN,2016-12-14 00:00:00+00:00,123.65,125.65,123.43,125.25,2041315,114.2763311524,116.1247149964,114.0730089296,115.7550382276,2041315,0.0,1.0
ACN,2016-12-15 00:00:00+00:00,124.55,125.28,123.26,123.45,1761439,115.1081038822,115.7827639852,113.9158963028,114.091492768,1761439,0.0,1.0
ACN,2016-12-16 00:00:00+00:00,123.0,125.16,122.44,124.58,4513962,113.6756064031,115.6718609546,113.1580589268,115.1358296399,4513962,0.0,1.0
ACN,2016-12-19 00:00:00+00:00,123.65,124.44,123.16,123.23,2750436,114.2763311524,115.0064427708,113.8234771106,113.8881705452,2750436,0.0,1.0
ACN,2016-12-20 00:00:00+00:00,124.1,124.27,123.01,124.04,3290845,114.6922175173,114.849330144,113.6848483223,114.636766002,3290845,0.0,1.0
ACN,2016-12-21 00:00:00+00:00,117.9,119.98,117.6,118.55,6028927,108.962227601,110.8845467988,108.6849700245,109.5629523503,6028927,0.0,1.0
ACN,2016-12-22 00:00:00+00:00,117.79,118.63,117.01,118.06,2758497,108.8605664896,109.6368877041,108.1396967905,109.1100983086,2758497,0.0,1.0
ACN,2016-12-23 00:00:00+00:00,117.48,118.21,117.11,117.4,1697312,108.5740669938,109.2487270969,108.2321159827,108.5001316401,1697312,0.0,1.0
ACN,2016-12-27 00:00:00+00:00,117.55,118.48,117.21,117.36,1546608,108.6387604284,109.4982589158,108.3245351749,108.4631639632,1546608,0.0,1.0
ACN,2016-12-28 00:00:00+00:00,116.61,118.0,116.09,118.0,1797685,107.7700200217,109.0546467932,107.2894402223,109.0546467932,1797685,0.0,1.0
ACN,2016-12-29 00:00:00+00:00,117.01,117.98,116.51,116.98,1633892,108.1396967905,109.0361629548,107.6776008295,108.1119710328,1633892,0.0,1.0
ACN,2016-12-30 00:00:00+00:00,117.13,117.95,116.59,117.56,1739750,108.2505998211,109.0084371971,107.7515361833,108.6480023476,1739750,0.0,1.0
ACN,2017-01-03 00:00:00+00:00,116.46,117.81,115.82,117.38,2352157,107.6313912334,108.8790503281,107.0399084033,108.4816478016,2352157,0.0,1.0
ACN,2017-01-04 00:00:00+00:00,116.74,117.8,116.43,116.91,2639772,107.8901649716,108.8698084089,107.6036654757,108.0472775983,2639772,0.0,1.0
ACN,2017-01-05 00:00:00+00:00,114.99,117.14,114.95,116.98,3685380,106.2728291081,108.2598417403,106.2358614312,108.1119710328,3685380,0.0,1.0
ACN,2017-01-06 00:00:00+00:00,116.3,116.74,114.34,114.99,4125269,107.4835205259,107.8901649716,105.6721043588,106.2728291081,4125269,0.0,1.0
ACN,2017-01-09 00:00:00+00:00,115.0,116.3465,114.92,116.14,2550869,106.2820710273,107.5264954503,106.2081356736,107.3356498184,2550869,0.0,1.0
ACN,2017-01-10 00:00:00+00:00,115.06,115.99,114.64,114.94,2550138,106.3375225426,107.1970210301,105.9493619354,106.226619512,2550138,0.0,1.0
ACN,2017-01-11 00:00:00+00:00,116.12,116.26,114.91,115.4,2845844,107.3171659799,107.446552849,106.1988937543,106.6517477961,2845844,0.0,1.0
ACN,2017-01-12 00:00:00+00:00,115.78,115.965,114.84,115.62,2110781,107.0029407265,107.173916232,106.1342003198,106.8550700189,2110781,0.0,1.0
ACN,2017-01-13 00:00:00+00:00,116.95,117.44,115.35,115.35,2666366,108.0842452752,108.5370993169,106.6055382,106.6055382,2666366,0.0,1.0
ACN,2017-01-17 00:00:00+00:00,116.03,116.36,115.47,115.92,2374325,107.233988707,107.5389720412,106.7164412306,107.1323275955,2374325,0.0,1.0
ACN,2017-01-18 00:00:00+00:00,115.95,116.95,115.74,116.54,2262162,107.1600533532,108.0842452752,106.9659730496,107.7053265872,2262162,0.0,1.0
ACN,2017-01-19 00:00:00+00:00,115.5,116.0,115.27,115.6,1647118,106.7441669883,107.2062629493,106.5316028462,106.8365861805,1647118,0.0,1.0
ACN,2017-01-20 00:00:00+00:00,115.07,116.25,114.81,115.88,2781387,106.3467644619,107.4373109298,106.1064745621,107.0953599187,2781387,0.0,1.0
ACN,2017-01-23 00:00:00+00:00,114.82,115.27,114.61,114.78,2319952,106.1157164814,106.5316028462,105.9216361777,106.0787488045,2319952,0.0,1.0
ACN,2017-01-24 00:00:00+00:00,116.48,116.64,114.84,115.2,2810084,107.6498750718,107.7977457794,106.1342003198,106.4669094117,2810084,0.0,1.0
ACN,2017-01-25 00:00:00+00:00,117.57,118.36,116.7,116.9,2905948,108.6572442668,109.3873558852,107.8531972947,108.0380356791,2905948,0.0,1.0
ACN,2017-01-26 00:00:00+00:00,115.93,117.44,115.6244,116.99,2865071,107.1415695148,108.5370993169,106.8591364634,108.121212952,2865071,0.0,1.0
ACN,2017-01-27 00:00:00+00:00,115.35,116.435,115.07,116.2,2545180,106.6055382,107.6082864354,106.3467644619,107.3911013337,2545180,0.0,1.0
ACN,2017-01-30 00:00:00+00:00,114.63,115.33,113.41,115.32,2529715,105.9401200162,106.5870543616,104.8126058714,106.5778124423,2529715,0.0,1.0
ACN,2017-01-31 00:00:00+00:00,113.87,114.0178,112.61,113.97,2338994,105.2377341555,105.3743297215,104.0732523338,105.3301533477,2338994,0.0,1.0
ACN,2017-02-01 00:00:00+00:00,113.21,114.769,112.31,113.8,2471638,104.627767487,106.0685826933,103.7959947572,105.1730407209,2471638,0.0,1.0
